ID,Sex,CFA,BL_L,BL_R,hr_24.L,hr_24.R,days_3.L,days_3.R,days_7.L,days_7.R
132,Female,Naive,1.027361379,1.371197008,0.966512299,1.045113343,1.169399186,1.051899698,0.985008236,1.124387726
133,Female,Naive,0.913807401,1.039201174,0.632876464,1.163554932,1.088828378,0.913917748,1.296470454,0.950592439
134,Female,Naive,1.149884817,0.935834419,1.019216904,0.801635718,1.066528584,1.266425534,0.828694729,0.931227677
135,Female,Naive,1.266425534,1.193937506,1.026416757,1.149884817,1.189991995,0.986295429,1.075158263,1.268326405
136,Female,CFA,1.193599851,1.045113343,0.422456574,1.266425534,0.573268598,0.679272118,0.986295429,1.266425534
137,Female,CFA,1.296470454,1.045113343,0.296536079,1.22685898,0.905203629,1.051456615,1.084953888,1.296470454
138,Female,CFA,0.990857408,0.966787026,0.200331595,0.948117916,0.573579799,0.615809361,0.990857408,0.882999888
139,Female,CFA,0.86378614,0.889269082,0.234805753,0.96175711,0.630599579,0.7854873,0.868843533,1.149884817
140,Female,Naive,1.163554932,1.016340349,0.986295429,1.189991995,1.088828378,0.948918663,1.066528584,1.088828378
141,Female,Naive,1.110717612,1.088828378,1.090641964,0.843433335,0.654155525,0.573579799,0.948086995,1.149884817
142,Female,Naive,1.193599851,1.118873297,1.075158263,1.124387726,1.118873297,1.075158263,0.99180203,1.2291592
143,Female,Naive,1.2291592,1.154432646,1.075158263,1.193937506,1.124387726,0.843814539,1.2291592,1.088828378
144,Female,CFA,1.016340349,0.878104411,0.156468799,1.189991995,0.703966952,0.703904824,1.066528584,1.193599851
145,Female,CFA,1.268326405,0.913807401,0.263700753,1.026416757,0.717963292,0.667544728,1.371197008,1.266425534
146,Female,CFA,1.371197008,0.948086995,0.345752561,0.73054523,0.55150686,0.66923656,0.632876464,0.778964029
147,Female,CFA,1.031443228,0.803211788,0.228819692,0.785973541,0.66923656,0.743090174,0.882513648,0.81051186
148,Female,CFA,0.986295429,0.948918663,0.234805753,1.332029803,0.466360147,1.124387726,1.051899698,1.055363913
149,Female,CFA,0.980637359,1.016340349,0.16901295,1.2291592,0.329220997,0.824480014,0.980182414,0.807748734
150,Female,CFA,1.084821173,1.118873297,0.369337356,0.909418807,0.697329709,1.193599851,0.931227677,0.912558567
151,Female,CFA,0.820902774,1.065583962,0.14371359,1.058783458,0.44409426,0.782320891,0.990857408,0.887512643
152,Female,Naive,1.108824834,0.948918663,1.027361379,0.803211788,1.124387726,1.045113343,1.051899698,1.296470454
153,Female,Naive,1.124387726,0.782265792,1.045113343,0.948604157,1.12651582,0.922190557,1.154432646,0.980182414
154,Female,Naive,0.921245934,1.088828378,0.782265792,1.091066903,1.088828378,0.96175711,1.118873297,1.091066903
155,Female,Naive,0.96175711,0.842947094,0.918873744,1.005546789,1.023645217,0.984478012,1.154432646,1.066528584
156,Female,CFA,0.948086995,1.091066903,0.215113898,0.804398844,0.255573749,0.784542678,0.946728876,1.371197008
157,Female,CFA,1.163554932,0.986295429,0.383917183,1.051456615,0.602225939,0.868843533,1.118873297,1.016340349
158,Female,CFA,0.946728876,0.739037952,0.253895306,0.947142373,0.571636898,0.868843533,1.163554932,0.913807401
159,Female,CFA,1.045786682,1.051899698,0.3108715,0.77480887,0.843814539,0.986295429,1.045113343,1.051899698
160,Female,Naive,1.005954231,0.73453275,0.871991395,0.980182414,0.566297078,0.515023965,0.792991739,1.016340349
161,Female,Naive,0.651545574,0.784542678,0.745843569,0.948117916,0.718907914,0.595046253,1.189991995,1.045113343
162,Female,Naive,1.124387726,0.966512299,0.931227677,0.947142373,0.972625315,1.058783458,1.118873297,1.118873297
163,Female,Naive,0.759071069,0.936922324,0.73054523,0.852621469,0.882999888,0.96175711,0.784542678,1.027361379
1,Male,Naive,1.118873297,0.703966952,1.031443228,0.787918082,0.57996165,0.662771094,0.703966952,1.118873297
2,Male,Naive,0.86378614,0.864730763,0.820902774,1.066528584,1.368905763,1.010322884,1.2291592,1.110717612
3,Male,Naive,1.118873297,1.118873297,1.088828378,1.091066903,1.111225685,0.980637359,1.2291592,0.96175711
4,Male,Naive,0.784542678,0.7854873,1.149884817,1.193599851,1.332029803,0.882999888,1.50699806,1.163554932
5,Male,CFA,0.99180203,1.149884817,0.273579753,1.088828378,0.415087034,0.742603933,1.027361379,0.987285121
6,Male,CFA,1.090155724,0.784542678,0.122124343,1.045113343,0.586427116,0.862841518,0.742603933,1.215721614
7,Male,CFA,1.193937506,1.296470454,0.245287653,0.986295429,0.297752833,0.674129873,1.169399186,1.266425534
8,Male,CFA,1.12651582,1.091066903,0.384706786,1.154432646,0.355429086,1.088828378,0.986295429,1.163554932
9,Male,Naive,1.193937506,0.99180203,1.118873297,1.296470454,1.506897863,1.332029803,1.163554932,1.045113343
10,Male,Naive,1.016340349,1.016340349,1.016340349,1.154432646,1.610996137,1.610996137,0.913807401,1.091066903
11,Male,Naive,0.7854873,1.088828378,0.990857408,1.023645217,0.918873744,0.742603933,0.980637359,0.883156066
12,Male,Naive,1.118873297,1.371197008,1.296470454,1.329300706,1.824004125,1.189991995,0.918873744,1.075158263
13,Male,CFA,1.163554932,1.118873297,0.504739621,0.864730763,0.470528565,1.065583962,1.266425534,1.090641964
14,Male,CFA,0.889269082,1.091066903,0.345752561,1.056678299,0.408364913,1.005954231,1.026416757,1.549518396
15,Male,CFA,1.268326405,1.051899698,0.48522799,0.948086995,0.815934261,1.441393792,1.154432646,0.853566092
16,Male,CFA,1.075158263,1.252755419,0.418798244,1.154432646,0.526218242,1.343422822,1.091066903,0.889269082
17,Male,CFA,0.690266547,0.96175711,0.3108715,0.864730763,0.48522799,0.966512299,1.088828378,0.912558567
18,Male,CFA,1.154432646,1.268326405,0.3108715,1.075158263,0.427868786,1.368905763,1.016340349,1.088828378
19,Male,CFA,0.7854873,1.149884817,0.3108715,0.836064299,0.289538575,1.266425534,0.821847396,0.889269082
