ID,CFA,BL_L,BL_R,3hrs_L,3hrs_R,24hrs_L,24hrs_R,3D_L,3D_R,7D_L,7D_R
116,Naive,1.371197008,1.016340349,1.332029803,1.031443228,0.845979181,1.091066903,1.154432646,0.980637359,1.016340349,1.154432646
117,Naive,1.296470454,1.118873297,1.055363913,0.936922324,1.051899698,1.2291592,0.972625315,1.049261824,1.016340349,0.986295429
118,Naive,1.118873297,0.846385715,1.051899698,0.828694729,1.051899698,1.118873297,1.118873297,0.986295429,1.110717612,1.332029803
119,Naive,0.99180203,1.051899698,0.794356056,0.931227677,0.96175711,1.090641964,1.169399186,1.371197008,1.193599851,1.016340349
120,Naive,1.016340349,1.149884817,0.986295429,0.94061586,0.73019278,1.252755419,1.266425534,1.124387726,0.99180203,1.124387726
121,Naive,1.296470454,1.118873297,0.77480887,1.268326405,1.124387726,0.96175711,1.193599851,0.878104411,0.931227677,1.075158263
122,Naive,1.091066903,1.016340349,0.931227677,0.704709838,0.821847396,0.690266547,0.883156066,1.091066903,1.163554932,1.2291592
124,CFA,1.016340349,1.088828378,0.478865933,0.404218416,0.630599579,0.559509091,1.066528584,1.091066903,1.016340349,1.193599851
125,CFA,1.091066903,1.193937506,0.420400077,0.412193265,0.54343873,0.380633622,1.110717612,0.576342925,1.193599851,1.371197008
126,CFA,1.47406761,0.828694729,0.489749219,0.404218416,0.455281138,0.703726781,0.704453193,0.948117916,1.066528584,1.084953888
127,CFA,1.055363913,0.986295429,0.294339936,0.361121991,0.44409426,0.455281138,0.831559097,0.717963292,1.091066903,0.501770512
128,CFA,1.268326405,0.972625315,0.442383038,0.559509091,0.55150686,0.380633622,0.757873162,0.864730763,1.016340349,0.913807401
129,CFA,1.016340349,0.980637359,0.445451389,0.342041351,0.466360147,0.342041351,0.703904824,0.948586012,1.193599851,1.193599851
130,CFA,1.193599851,1.296470454,0.579387137,0.384706786,0.706730078,0.566297078,1.045113343,0.987771362,1.149884817,1.193599851
131,CFA,1.088828378,0.99180203,0.309709366,0.420400077,0.392169839,0.478853317,0.742603933,0.7854873,0.746788191,0.810682725
