ID,Condition,Obs_1,Obs_2,Obs_3,Obs_4,Obs_5,Obs_6,Obs_7,Obs_8,Obs_9,Obs_10,Obs_11,Obs_12,Obs_13,Obs_14,Obs_15,Obs_16,Obs_17,Obs_18,Obs_19,Obs_20,Obs_21,Obs_22,Obs_23,Obs_24,Obs_25,Obs_26,Obs_27,Obs_28,Obs_29,Obs_30,Obs_31,Obs_32,Obs_33,Obs_34,Obs_35,Obs_36,Obs_37,Obs_38,Obs_39,Obs_40
1,Naive,5,9,9,9,9,9,5,5,1,5,3,3,3,3,3,10,10,10,10,10,3,10,10,4,10,4,5,9,9,10,10,9,5,2,1,2,3,2,3,3
2,Naive,9,1,9,9,9,9,9,5,10,2,3,3,3,4,3,10,10,10,10,10,10,10,10,10,10,10,3,3,3,4,10,4,9,9,1,5,3,1,1,3
3,Naive,5,5,9,5,9,5,9,5,9,9,5,2,9,9,5,5,1,2,5,5,10,10,10,10,10,4,9,1,10,1,5,10,9,5,5,5,1,1,3,10
4,Naive,9,9,9,9,9,9,9,5,1,5,5,3,3,4,3,10,10,10,10,10,10,10,10,10,10,10,3,3,9,1,5,9,9,9,1,5,2,6,3,10
5,CFA,5,1,5,9,5,5,9,9,9,9,6,6,4,4,4,4,4,10,10,10,3,4,4,2,9,4,5,5,10,10,10,4,4,4,4,4,4,10,10,10
6,CFA,5,5,5,5,10,10,5,10,2,10,5,4,4,4,4,2,10,10,10,10,6,4,4,2,2,5,10,10,10,10,10,4,4,4,4,4,4,10,10,10
7,CFA,9,9,9,10,9,9,5,9,5,5,5,4,4,4,4,4,4,10,10,10,6,4,4,2,10,4,10,10,10,10,10,10,10,10,4,10,10,10,10,10
8,CFA,5,9,5,5,5,5,5,5,5,5,6,6,4,4,4,10,10,10,10,10,10,4,4,10,10,4,10,10,10,10,10,10,10,10,4,10,10,10,10,10
9,Naive,5,9,5,5,5,5,5,5,5,9,9,5,5,5,2,5,3,5,5,5,9,1,9,5,3,9,9,2,1,9,4,1,4,9,5,1,9,4,5,1
10,Naive,5,9,5,9,9,9,5,2,5,9,1,2,2,5,2,3,3,3,3,5,4,2,2,3,3,4,4,5,3,5,10,4,4,4,4,2,3,4,3,3
11,Naive,5,5,9,9,9,5,5,2,9,9,9,5,2,5,2,3,9,3,9,5,4,6,9,3,10,4,4,2,3,4,9,4,1,4,2,2,3,5,3,3
12,Naive,9,5,5,9,5,9,9,2,9,5,10,2,2,2,9,5,5,3,3,2,9,9,2,10,10,9,10,10,10,10,10,10,2,9,1,4,10,10,3,2
13,CFA,5,9,5,5,5,5,5,5,5,9,1,9,5,4,4,10,10,10,10,10,2,4,4,10,10,4,5,4,4,4,4,4,4,4,4,4,10,10,4,10
14,CFA,5,5,5,5,5,5,5,10,10,2,5,4,10,4,4,10,10,10,10,10,6,4,4,5,6,1,5,4,4,4,4,4,4,4,4,4,10,10,10,10
15,CFA,5,5,5,5,9,5,5,5,9,5,5,4,5,4,7,10,10,10,10,10,6,4,4,10,6,4,10,10,10,10,4,4,4,7,10,10,10,10,10,10
16,CFA,5,5,5,9,9,9,9,5,9,9,5,4,10,4,4,10,10,10,10,10,10,4,4,10,5,4,10,10,10,10,4,6,10,10,10,10,10,10,6,4
17,CFA,5,9,9,5,5,5,5,9,10,2,2,1,9,6,9,1,6,5,5,1,5,4,5,2,2,10,10,7,4,4,5,5,5,5,10,4,7,2,4,4
18,CFA,5,9,9,5,9,9,9,9,10,9,2,5,1,1,5,1,5,6,6,2,6,4,2,6,4,10,10,10,10,10,3,4,9,4,10,4,4,10,10,4
19,CFA,5,2,5,9,5,9,5,9,10,2,2,5,2,1,7,5,5,2,6,2,6,5,2,9,7,7,10,7,2,5,3,7,4,4,2,10,2,10,10,4
20,CFA,5,9,5,9,5,9,5,5,9,2,5,5,9,5,6,1,6,2,9,5,5,5,2,10,4,5,5,5,4,10,6,4,4,4,1,10,10,10,10,4
21,Naive,5,5,9,3,9,9,5,2,9,2,3,1,5,1,3,9,3,2,5,9,9,9,2,9,5,5,9,5,9,2,4,4,3,3,3,3,7,2,10,10
22,Naive,5,5,5,3,9,2,5,2,9,5,9,1,5,1,3,9,9,9,5,9,9,9,1,2,5,5,5,5,3,10,4,5,9,4,5,5,10,2,10,10
23,Naive,5,9,9,3,5,3,5,5,9,5,3,1,5,3,9,3,5,2,5,9,9,5,1,9,9,5,5,5,3,5,5,5,3,1,3,3,10,10,5,5
24,Naive,5,5,5,3,9,5,5,9,5,5,5,9,5,3,9,3,5,2,5,9,5,9,5,2,2,2,9,10,5,5,4,4,3,3,2,3,10,10,10,10
25,Naive,9,5,5,9,5,2,5,1,1,5,4,3,3,3,3,3,3,3,3,4,10,10,4,10,10,10,10,10,10,10,10,3,4,6,9,9,3,3,3,4
26,Naive,5,9,5,9,5,9,9,2,5,9,9,9,3,3,3,3,3,3,3,4,10,10,10,10,10,10,10,10,10,10,10,3,4,9,5,9,3,9,3,4
27,Naive,9,5,9,9,5,9,5,9,5,3,4,3,3,9,3,9,5,3,3,4,10,10,10,10,10,10,10,10,10,10,10,3,2,9,5,9,3,3,4,4
28,Naive,9,5,9,5,9,6,9,5,9,3,4,10,3,3,3,3,3,3,3,4,10,10,10,10,10,10,10,10,10,10,10,10,4,5,9,2,3,3,4,9
29,CFA,9,5,5,9,5,5,9,5,5,9,5,2,5,2,3,9,5,6,6,10,2,10,2,5,9,5,1,9,9,5,9,4,10,2,10,10,10,7,7,7
30,CFA,5,5,9,9,5,5,5,1,5,5,9,9,9,9,9,5,5,6,5,9,5,5,9,5,5,4,5,4,9,4,4,10,7,10,10,10,7,10,10,10
31,CFA,9,5,9,9,9,5,9,5,5,5,5,2,9,5,3,5,5,6,2,6,7,2,6,4,9,5,5,4,7,10,4,2,10,10,2,10,10,10,10,10
32,CFA,1,5,9,5,5,5,9,5,5,5,5,1,2,9,1,5,5,6,5,6,2,6,6,4,6,4,7,1,5,7,7,5,1,5,4,7,10,10,10,10
