ID,Sex,CFA,PGE2,Left_4,Right_4,PG_3_L,PG_3_R,PG_24_L,PG_24_R
132,Female,Naive,No,0.985008236,1.124387726,1.087878839,1.010227334,1.193599851,0.99180203
133,Female,Naive,No,1.296470454,0.950592439,1.154432646,0.980637359,0.882999888,0.986295429
134,Female,Naive,No,0.828694729,0.931227677,0.972625315,1.189991995,0.96175711,1.193937506
135,Female,Naive,No,1.075158263,1.268326405,1.193599851,0.864730763,1.016340349,1.091066903
136,Female,CFA,No,0.986295429,1.266425534,1.193599851,1.016196708,1.193599851,1.149884817
137,Female,CFA,No,1.084953888,1.296470454,1.163554932,1.058783458,1.031443228,1.091066903
138,Female,CFA,No,0.990857408,0.882999888,1.016340349,1.371197008,0.912558567,0.972625315
139,Female,CFA,No,0.868843533,1.149884817,1.088828378,1.118873297,0.948918663,0.99180203
140,Female,Naive,PGE2,1.066528584,1.088828378,0.342041351,0.882999888,0.864730763,1.066528584
141,Female,Naive,PGE2,0.948086995,1.149884817,0.373211202,1.091066903,1.016340349,1.088828378
142,Female,Naive,PGE2,0.99180203,1.2291592,0.352805791,1.193599851,1.296470454,1.22685898
143,Female,Naive,PGE2,1.2291592,1.088828378,0.501770512,1.016340349,1.075158263,1.118873297
144,Female,CFA,PGE2,1.066528584,1.193599851,0.526218242,1.123988378,1.371197008,1.193599851
145,Female,CFA,PGE2,1.371197008,1.266425534,0.579798826,1.088828378,0.96175711,1.045113343
146,Female,CFA,PGE2,0.632876464,0.778964029,0.309709366,0.946728876,0.913917748,0.630599579
147,Female,CFA,PGE2,0.882513648,0.81051186,0.403868513,1.090155724,0.869329773,1.075158263
148,Female,CFA,PGE2,1.051899698,1.055363913,0.48522799,1.088828378,1.016340349,1.296470454
149,Female,CFA,PGE2,0.980182414,0.807748734,0.594177355,1.193599851,1.075158263,0.889269082
150,Female,CFA,PGE2,0.931227677,0.912558567,0.665267843,1.016340349,1.088828378,1.118873297
151,Female,CFA,PGE2,0.990857408,0.887512643,0.579326466,1.193937506,1.124387726,1.193599851
152,Female,Naive,No,1.051899698,1.296470454,1.019216904,1.149884817,1.075158263,1.268326405
153,Female,Naive,No,1.154432646,0.980182414,1.016788351,1.266425534,1.075158263,0.948086995
154,Female,Naive,No,1.118873297,1.091066903,1.193599851,0.936922324,1.118873297,1.268326405
155,Female,Naive,No,1.154432646,1.066528584,0.889269082,0.783210415,1.193599851,1.088828378
156,Female,CFA,No,0.946728876,1.371197008,1.124387726,1.124387726,0.984478012,0.950592439
157,Female,CFA,No,1.118873297,1.016340349,1.193599851,0.986295429,0.966512299,1.010227334
158,Female,CFA,No,1.163554932,0.913807401,0.785028918,0.774322629,0.972625315,1.091066903
159,Female,CFA,No,1.045113343,1.051899698,0.912558567,0.912558567,0.869329773,1.049261824
160,Female,Naive,PGE2,0.792991739,1.016340349,0.594177355,1.108824834,0.96175711,0.922190557
161,Female,Naive,PGE2,1.189991995,1.045113343,0.567023524,0.948086995,0.712119927,1.016340349
162,Female,Naive,PGE2,1.118873297,1.118873297,0.703966952,1.118873297,1.189991995,1.088828378
163,Female,Naive,PGE2,0.784542678,1.027361379,0.466830768,0.842947094,0.905203629,0.948086995
1,Male,Naive,No,0.703966952,1.118873297,1.296470454,1.296470454,1.154432646,1.193599851
2,Male,Naive,No,1.2291592,1.110717612,1.075158263,1.118873297,0.864730763,0.918873744
3,Male,Naive,No,1.2291592,0.96175711,1.156903701,1.226767758,1.027361379,1.163554932
4,Male,Naive,No,1.50699806,1.163554932,0.990857408,1.229391729,1.285020972,1.471438711
5,Male,CFA,No,1.027361379,0.987285121,0.980182414,0.73562352,0.853566092,1.004447784
6,Male,CFA,No,0.742603933,1.215721614,1.066528584,1.075158263,1.437033805,1.47406761
7,Male,CFA,No,1.169399186,1.266425534,1.42705878,1.649035868,1.202229439,0.81051186
8,Male,CFA,No,0.986295429,1.163554932,1.193599851,1.154432646,1.259436649,1.229391729
